Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Support Foot	Spin	Rotation	Edge	File
00:00:52.003	52.003	00:00:54.588	54.588		Jump In [a1]			2.eaf
00:00:54.588	54.588	00:01:00.092	60.092	Right [a28]	BC [a2]	CCW [a41]		2.eaf
00:01:00.092	60.092	00:01:01.324	61.324		Trans [a3]			2.eaf
00:01:01.324	61.324	00:01:03.473	63.473	Right [a29]	CF [a4]	CCW [a42]		2.eaf
00:01:03.473	63.473	00:01:05.721	65.721	Right [a30]	CS [a5]	CCW [a43]		2.eaf
00:01:05.721	65.721	00:01:06.801	66.801		Step Out [a6]			2.eaf
00:01:12.488	72.488	00:01:13.438	73.438		Step In [a7]			2.eaf
00:01:13.438	73.438	00:01:14.102	74.102		Trans [a8]			2.eaf
00:01:14.102	74.102	00:01:16.470	76.47	Left [a31]	Other-NBP [a9]	CCW [a44]		2.eaf
00:01:16.470	76.47	00:01:18.579	78.579	Left [a32]	Other-NBP [a10]	CCW [a45]		2.eaf
00:01:18.579	78.579	00:01:19.539	79.539		CP [a11]			2.eaf
00:01:19.539	79.539	00:01:22.451	82.451	Right [a33]	BC [a12]	CCW [a46]		2.eaf
00:01:22.451	82.451	00:01:22.991	82.991	Right [a34]	Trans [a13]			2.eaf
00:01:22.991	82.991	00:01:23.631	83.631		JCP [a14]			2.eaf
00:01:23.631	83.631	00:01:24.190	84.19	Right [a35]	Trans [a15]			2.eaf
00:01:24.190	84.19	00:01:26.149	86.149	Right [a36]	Other-NBP [a16]	CCW [a47]		2.eaf
00:01:26.149	86.149	00:01:26.765	86.765		Trans [a17]			2.eaf
00:01:26.765	86.765	00:01:28.205	88.205	Right [a37]	BU [a18]	CCW [a48]		2.eaf
00:01:28.205	88.205	00:01:28.885	88.885		Step Out [a19]			2.eaf
00:02:42.359	162.359	00:02:43.470	163.47		Step In [a20]			2.eaf
00:02:43.470	163.47	00:02:44.417	164.417		Trans [a21]			2.eaf
00:02:44.420	164.42	00:02:46.200	166.2	Left [a54]	SF [a52]	CCW [a56]	Inside [a58]	2.eaf
00:02:46.200	166.2	00:02:47.956	167.956	Left [a55]	SF [a53]	CCW [a57]	Outside [a59]	2.eaf
00:02:47.963	167.963	00:02:49.522	169.522		CP [a23]			2.eaf
